status,name,prefecture,rank,proposal,note
low,(有)平野鉄工所,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:シブヤマシナリー(株)、(株)島製作所、他 / [精査]石川後回し
low,(有)旭鉄工所,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:住友重機械、梶鋳工書 / [精査]石川後回し
low,(有)森本精機,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:オークマ(株)、中村留精密工業(株)、他 / [精査]石川後回し
won,(有)茶谷鉄工所,石川県,ランクC,受注済（攻めリスト外）,取引先:マテハン機器メーカー / [精査]茶谷GEARとして新規受注済
low,(株)イソヤ,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:高松機械工業(株)(株)創研 / [精査]石川後回し
low,(株)カワコー,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:日本製鋼所、神鋼造機、トクデン(株) / [精査]石川後回し
listen,(株)ミモト,石川県,ランクC,公式はヤンマー品質管理認定工場。ヤンマー／クボタ筋。話聞き程度（コマツ案件ではない）,公式取引先:ヤンマー(株)、ヤンマーエネルギーシステム、ヤンマーアグリ、澁谷工業、クボタ / HP:https://www.mimoto.co.jp/company/ / [ウェブ優先]コマツではない・ヤンマー認定工場
low,(株)ヨシダセイコー,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:(株)ミスミ、協同組合ユー・エス・ジー / [精査]石川後回し
low,(株)三洋精機,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:半導体製造装置、産業機械メーカー / [精査]石川後回し
low,(株)丸開鉄工,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:コマツ関連企業 / [精査]石川後回し
no_prospect,(株)二羽歯切,石川県,ランクC,訪問済・見込みなし（再訪不要）,取引先:ティッセンクルップローテエルデジャパン(株) / [精査]高周波メイン(丹羽歯切)
low,(株)北島金属,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:(株)富士精工 / [精査]石川後回し
low,(株)千代製作所,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:オリエンタルチェン、日立金属 / [精査]石川後回し
low,(株)大和鋳造所,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:船舶エンジンメーカー、自動車部品メーカー / [精査]石川後回し
low,(株)安土鉄工所,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:日本精工(株)、他 / [精査]石川後回し
low,(株)安江鉄工,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:松本機械工業(株)、中村留精密工業 / [精査]石川後回し
won,(株)宮本鉄工,石川県,ランクC,受注済（攻めリスト外）,取引先:渋谷工業(株)、YKK(株)、(株)西の製作所 / [精査]新規開拓受注先
low,(株)小幡製作所,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:油圧機器、産業機械部品メーカー / [精査]石川後回し
low,(株)曽田製作所,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:(株)加藤製作所 / [精査]石川後回し
low,(株)木村精工,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:食品機械メーカー / [精査]石川後回し
closed,(株)林鍛造所,石川県,ランクC,取引終了・対象外（再訪不要）,取引先:産業機械メーカー、自動二輪メーカー / [精査]やめた
low,(株)梶鋳工所,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:津田駒工業(株)、ヤンマー(株) / [精査]石川後回し
low,(株)森テック,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:OBARA(株)、TMTマシナリー(株) / [精査]石川後回し
low,(株)津田精工,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:渋谷工業(株)関連会社 / [精査]石川後回し
no_prospect,(株)炭澤鉄工,石川県,ランクC,訪問済・見込みなし（再訪不要）,取引先:食品機械、農業機械メーカー / [精査]案件なし
low,(株)炭鉄工所,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:クマリフト(株)、 / [精査]石川後回し
low,(株)真田製作所,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:油圧機器メーカー、産業機器メーカー / [精査]石川後回し
no_prospect,(株)竹内歯車製作所,石川県,ランクC,訪問済・見込みなし（再訪不要）,取引先:島製作所、高千穂工業、石川製作所 / [精査]小規模すぎる
low,(株)竹田栄鉄工,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:不二精機(株)、オリエンタルチェイン / [精査]石川後回し
customer,(株)西研精機製作所,石川県,ランクC,既存取引先（開拓リスト外）,取引先:日本ニューマチック、ジェイテクト、他 / [精査]すでに取引中
low,(株)金崎鋲螺製作所,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:各分野の関連企業 / [精査]石川後回し
low,(株)飯田,石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:福井鋲螺、東振精機、村田機械 / [精査]石川後回し
low,イズイ工業(株),石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:防衛機器メーカー、繊維機器メーカー / [精査]石川後回し
low,カワラ金属(株),石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:高桑金庫(株)、日本電産(株)、フタバ産業 / [精査]石川後回し
low,サンテック(株),石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:三菱化工機、黒田精工、ホンダ / [精査]石川後回し
low,加賀精機(株),石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:ナブテスコ、ボッシュレクロス / [精査]石川後回し
low,北川鉄工(株),石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:大進製作所 / [精査]石川後回し
low,北陸精鍛(株),石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:(株)新巧社、オリエンタルチェン(株) / [精査]石川後回し
low,米林機械工業(株),石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:(株)西野製作所 / [精査]石川後回し
low,請田鉄工(株),石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:(株)椿本チェイン、(株)東振精機 / [精査]石川後回し
low,黒川工業(株),石川県,ランクC,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:村田機械、日立建機 / [精査]石川後回し
low,(有)ミナト鉄工所,石川県,ランクD,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:工作機械メーカー / [精査]石川後回し
low,(有)越田鉄工,石川県,ランクD,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:産業機械メーカー、農業機械メーカー / [精査]石川後回し
low,(株)原田鉄工所,石川県,ランクD,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:産業機械メーカー、繊維機器メーカー / [精査]石川後回し
low,(株)山鐵,石川県,ランクD,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:TANIDA(株)、松本機械工業(株) / [精査]石川後回し
low,オリエンタルチエン工業(株),石川県,ランクD,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:三菱重工、ジェイテクト / [精査]石川後回し
low,マエダ精工(株),石川県,ランクD,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:シシクアドクライス(株)、オリエンタルチェン / [精査]石川後回し
low,中田技研,石川県,ランクD,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:ナノテック(株)、グリーンツール(株) / [精査]石川後回し
closed,岡田研磨(株),石川県,ランクD,取引終了・対象外（再訪不要）,取引先:ヤンマー建機、日立建機 / [精査]開発やめた
low,岩本精密工業(株),石川県,ランクD,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:冷間圧造メーカー各社 / [精査]石川後回し
low,日機工業(株),石川県,ランクD,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:東京航空計器(株)、(株)久世ベローズ工業所 / [精査]石川後回し
competitor,(株)ネツレン小松,石川県,,競合（熱処理屋）。客として訪問しない,[精査]競合他社(熱処理屋)
low,(株)中野製作所,石川県,,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:南鉄工所、二見屋工業、高林製作所、他 / [精査]石川後回し
customer,(株)二水,石川県,,既存取引先（開拓リスト外）,取引先:イシダ、TMTマシナリー、巴バルブ、他 / [精査]取引先
low,(株)吉本歯切,石川県,,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:工作機械メーカー、減速機械メーカー / [精査]コマツ認定次第
customer,(株)島製作所,石川県,,既存取引先（開拓リスト外）,取引先:車両機器メーカー、押出機メーカー / [精査]取引中
closed,(株)柴田製作所,石川県,,取引終了・対象外（再訪不要）,取引先:神鋼造機(株)、(株)梶製作所、他 / [精査]調質しかない→やめた
customer,カネマツ鋼材(株),石川県,,既存取引先（開拓リスト外）,取引先:金属製造関係各社 / [精査]取引中
no_prospect,コンペチター,石川県,,訪問済・見込みなし（再訪不要）,[精査]名称不明・対象外
low,フジタ技研(株),石川県,,訪問済・低優先（石川など便の悪い案件は増やさない）,[精査]石川後回し
won,ヤマザキマザック,岐阜県,,受注済（攻めリスト外）,
low,和宏精密(株),石川県,,訪問済・低優先（石川など便の悪い案件は増やさない）,[精査]石川後回し
prospect,大川歯車,,,現行熱処理先は未把握→まず利用有無と外注先を確認／記録2件,パイプライン:コンタクト済。近々訪問予定。種まき刈り取り候補(豊中)。 / [精査]近々再訪問
low,富士精機(株),石川県,,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:宇部興産、東洋機械金属、芝浦機械、他 / [精査]以前取引あり・コマツ認定次第
competitor,東神熱工(株)小松工場,石川県,,競合（熱処理屋）。客として訪問しない,[精査]競合(熱処理屋)
no_prospect,東福鍛工,,,訪問済・見込みなし（再訪不要）,見込みなし(単価不一致)。再訪不要。
competitor,栗田HT(株),石川県,,競合（熱処理屋）。客として訪問しない,[精査]競合(熱処理屋)
customer,水谷精機工作所,三重県,,既存取引先（開拓リスト外）,既存取引先。 / [精査]既存取引先
competitor,深田熱処理工業(株),石川県,,競合（熱処理屋）。客として訪問しない,[精査]競合(熱処理屋)
customer,石垣歯車,,,既存取引先（開拓リスト外）,既存取引先。 / [精査]既存取引先
low,高千穂工業(株),石川県,,訪問済・低優先（石川など便の悪い案件は増やさない）,取引先:アトムメディカル、松山、ショーシン / [精査]石川後回し
